Name,Time,Stat,Sportsbook,Sportsbook Line,DFS Line,Discrepancy,Over Price,Under Price,% Over,% Under,Payout,Higher/Lower,EV
George Kittle,01:25pm,Receiving Yards,DraftKings,44.5,61.5,17.0,1.8333333333333333,1.9090909090909087,0.37785028141759724,0.6221497185824028,1x,Lower,44.5%
Jauan Jennings,01:25pm,Receiving Yards,DraftKings,51.5,66.5,15.0,1.869565217391304,1.869565217391304,0.3830198541065424,0.6169801458934576,1x,Lower,40.9%
Saquon Barkley,10:00am,Rush Yards,DraftKings,87.5,98.5,11.0,1.9523809523809523,1.8,0.39864812240607606,0.601351877593924,1x,Lower,30.5%
Jalen Hurts,10:00am,Pass Yards,DraftKings,228.5,209.5,-19.0,1.7692307692307692,2.0,0.597244971565261,0.402755028434739,1x,Higher,27.8%
Josh Allen,01:25pm,Pass Yards,DraftKings,218.5,245.5,27.0,1.869565217391304,1.869565217391304,0.4055640192261415,0.5944359807738585,1x,Lower,26.0%
Brock Purdy,01:25pm,Pass Yards,DraftKings,224.5,247.5,23.0,1.9090909090909087,1.8333333333333333,0.40931624732602445,0.5906837526739755,1x,Lower,23.7%
Josh Allen,01:25pm,Rush Yards,DraftKings,36.5,42.5,6.0,1.8333333333333333,1.9090909090909087,0.43409126926438246,0.5659087307356175,1x,Lower,8.7%
Bo Nix,05:15pm,Rush Yards,DraftKings,20.5,17.5,-3.0,1.869565217391304,1.869565217391304,0.5623390581254624,0.43766094187453763,1x,Higher,6.7%
Deebo Samuel,01:25pm,Receiving Yards,DraftKings,39.5,47.5,8.0,1.8333333333333333,1.9090909090909087,0.447366735517716,0.552633264482284,1x,Lower,1.3%
Zay Flowers,01:30pm,Receiving Yards,DraftKings,61.5,55.5,-6.0,1.869565217391304,1.869565217391304,0.5471139861694723,0.45288601383052773,1x,Higher,-1.7%
James Cook,01:25pm,Rush Yards,DraftKings,64.5,68.5,4.0,1.9090909090909087,1.8333333333333333,0.46030707276614347,0.5396929272338565,1x,Lower,-5.7%
Jalen Hurts,10:00am,Rush Yards,DraftKings,37.5,40.5,3.0,1.869565217391304,1.869565217391304,0.4618871985104551,0.5381128014895449,1x,Lower,-6.5%
Mark Andrews,01:30pm,Receiving Yards,DraftKings,32.5,35.5,3.0,1.869565217391304,1.869565217391304,0.4618871985104551,0.5381128014895449,1x,Lower,-6.5%
Brock Purdy,01:25pm,Rush Yards,DraftKings,17.5,15.5,-2.0,1.9090909090909087,1.8333333333333333,0.5314909741572322,0.46850902584276777,1x,Higher,-9.9%
Khalil Shakir,01:25pm,Receiving Yards,DraftKings,54.5,51.5,-3.0,1.869565217391304,1.869565217391304,0.5235801509616402,0.4764198490383597,1x,Higher,-13.9%
Courtland Sutton,05:15pm,Receiving Yards,DraftKings,64.5,69.5,5.0,1.8333333333333333,1.9090909090909087,0.48158481703140654,0.5184151829685935,1x,Lower,-16.4%
Derrick Henry,01:30pm,Receiving Yards,DraftKings,2.5,1.5,-1.0,1.869565217391304,1.869565217391304,0.5165294638078548,0.48347053619214525,1x,Higher,-17.3%
Rashod Bateman,01:30pm,Receiving Yards,DraftKings,36.5,35.5,-1.0,1.869565217391304,1.869565217391304,0.5127139462447874,0.48728605375521267,1x,Higher,-19.1%
Bo Nix,05:15pm,Pass Yards,DraftKings,219.5,225.5,6.0,1.8333333333333333,1.9090909090909087,0.48902973798580707,0.5109702620141929,1x,Lower,-20.0%
Derrick Henry,01:30pm,Rush Yards,DraftKings,85.5,87.5,2.0,1.8333333333333333,1.9090909090909087,0.4953300049238294,0.5046699950761706,1x,Lower,-22.9%
