Name,Team,Opponent,Stat,Line,Date,Time,Sport
Courtland Sutton,DEN,LAC,Rec Targets,9.0,2024-12-19,05:15pm,NFL
Stone Smartt,LAC,DEN,Rec Targets,5.0,2024-12-19,05:15pm,NFL
Devaughn Vele,DEN,LAC,Rec Targets,4.5,2024-12-19,05:15pm,NFL
Quentin Johnston,LAC,DEN,Rec Targets,6.5,2024-12-19,05:15pm,NFL
Ladd McConkey,LAC,DEN,Rec Targets,8.5,2024-12-19,05:15pm,NFL
Troy Franklin,DEN,LAC,Rec Targets,4.0,2024-12-19,05:15pm,NFL
Joshua Palmer,LAC,DEN,Rec Targets,4.0,2024-12-19,05:15pm,NFL
Lil'Jordan Humphrey,DEN,LAC,Rec Targets,1.5,2024-12-19,05:15pm,NFL
Nikola Jokic,DEN,PHX - Christmas Day,Points,30.5,2024-12-25,07:40pm,NBA
Antoine Rozner,Antoine Rozner,RD1,Strokes,69.5,2024-12-19,12:20am,EUROGOLF
Jinggg,Paper Rex x Spotlight,Xipto x Global Esports MAPS 1-2,MAPS 1-2 Kills,35.0,2024-12-19,02:00am,VAL
Juncheng Shang,Juncheng Shang,Nishesh Basavareddy,1st Set - Total Games,6.0,2024-12-19,03:00am,TENNIS LIVE
Juncheng Shang,Juncheng Shang,Nishesh Basavareddy,1st Set - Aces,1.5,2024-12-19,03:00am,TENNIS LIVE
Juncheng Shang,Juncheng Shang,Nishesh Basavareddy,2nd Set - Aces,1.5,2024-12-19,03:00am,TENNIS LIVE
Juncheng Shang,Juncheng Shang,Nishesh Basavareddy,2nd Set - Total Games,6.0,2024-12-19,03:00am,TENNIS LIVE
Juncheng Shang,Juncheng Shang,Nishesh Basavareddy,Fantasy Score,19.0,2024-12-19,03:00am,TENNIS
Juncheng Shang,Juncheng Shang,Nishesh Basavareddy,3rd Set - Aces,1.5,2024-12-19,03:00am,TENNIS LIVE
Juncheng Shang,Juncheng Shang,Nishesh Basavareddy,Aces,5.5,2024-12-19,03:00am,TENNIS
Juncheng Shang,Juncheng Shang,Nishesh Basavareddy,Total Games,23.5,2024-12-19,03:00am,TENNIS
Juncheng Shang,Juncheng Shang,Nishesh Basavareddy,3rd Set - Total Games,6.0,2024-12-19,03:00am,TENNIS LIVE
Juncheng Shang,Juncheng Shang,Nishesh Basavareddy,Break Points Won,2.5,2024-12-19,03:00am,TENNIS
Justin Herbert,LAC,DEN 1Q,Pass Yards,46.5,2024-12-19,05:15pm,NFL1Q
Bo Nix,DEN,LAC,Fantasy Score,17.0,2024-12-19,05:15pm,NFL
Justin Herbert,LAC,DEN,Pass+Rush Yds,246.5,2024-12-19,05:15pm,NFL
Bo Nix,DEN,LAC 1st Half,Fantasy Score,7.5,2024-12-19,05:15pm,NFL1H
Justin Herbert,LAC,DEN,Pass Yards,230.5,2024-12-19,05:15pm,NFL
Justin Herbert,LAC,DEN 1st Half,Pass Yards,116.5,2024-12-19,05:15pm,NFL1H
Justin Herbert,LAC,DEN,Pass Completions,21.0,2024-12-19,05:15pm,NFL
Ladd McConkey,LAC,DEN 1Q,Receiving Yards,12.5,2024-12-19,05:15pm,NFL1Q
Justin Herbert,LAC,DEN,Pass Attempts,33.0,2024-12-19,05:15pm,NFL
Justin Herbert,LAC,DEN,Rush Yards,11.5,2024-12-19,05:15pm,NFL
Gus Edwards,LAC,DEN,Rush Yards in First 5 Attempts,18.5,2024-12-19,05:15pm,NFL
Javonte Williams,DEN,LAC,Longest Rush,11.5,2024-12-19,05:15pm,NFL
Gus Edwards,LAC,DEN 1Q,Rush Yards,7.5,2024-12-19,05:15pm,NFL1Q
Bo Nix,DEN,LAC 1Q,Pass Yards,43.5,2024-12-19,05:15pm,NFL1Q
Bo Nix,DEN,LAC 1Q,Rush Yards,2.5,2024-12-19,05:15pm,NFL1Q
Oleksandr Usyk,Oleksandr Usyk,Tyson Fury,Total Punches Landed,160.5,2024-12-21,02:00pm,BOXING
Tara,Paper Rex x Spotlight,Xipto x Global Esports MAPS 1-2,MAPS 1-2 Kills,21.0,2024-12-19,02:00am,VAL
Rassie van der Dussen,South Africa,Pakistan (T50),Fours,2.5,2024-12-19,04:00am,CRICKET
Rassie van der Dussen,South Africa,Pakistan (T50),1st Inning Runs,30.5,2024-12-19,04:00am,CRICKET
Alex Michelsen,Alex Michelsen,Luca Van Assche,3rd Set - Total Games,6.0,2024-12-19,04:30am,TENNIS LIVE
Alex Michelsen,Alex Michelsen,Luca Van Assche,2nd Set - Total Games,6.0,2024-12-19,04:30am,TENNIS LIVE
Alex Michelsen,Alex Michelsen,Luca Van Assche,1st Set - Aces,2.0,2024-12-19,04:30am,TENNIS LIVE
Alex Michelsen,Alex Michelsen,Luca Van Assche,Break Points Won,2.5,2024-12-19,04:30am,TENNIS
