Name,Time,Stat,Sportsbook,Sportsbook Line,DFS Line,Discrepancy,Over Price,Under Price,% Over,% Under,Payout,Higher/Lower,EV
Domantas Sabonis,7:00pm,Assists,Pinnacle,5.5,5.5,0,1.555,2.32,0.5987096774193548,0.4012903225806451,0.94x,Higher,7.0%
Michael Porter Jr.,6:00pm,Rebounds,Pinnacle,5.5,5.5,0,1.561,2.31,0.5967450271247741,0.403254972875226,0.93x,Higher,2.6%
Michael Porter Jr.,6:00pm,Points,Pinnacle,17.5,17.5,0,1.719,2.05,0.5439108516847969,0.456089148315203,1x,Higher,-3.5%
Kevin Huerter,7:00pm,Pts + Rebs + Asts,Pinnacle,15.5,15.5,0,1.719,2.04,0.5426975259377493,0.4573024740622505,1x,Higher,-4.1%
Josh Green,4:00pm,Points,Pinnacle,9.5,9.5,0.0,2.04,1.719,0.4573024740622505,0.5426975259377493,1x,Lower,-4.1%
Tristan da Silva,4:00pm,Points,Pinnacle,8.5,8.5,0.0,2.04,1.724,0.4580233793836344,0.5419766206163655,1x,Lower,-4.5%
Jalen Williams,7:00pm,Points,Pinnacle,23.5,23.5,0.0,2.03,1.729,0.4599627560521416,0.5400372439478585,1x,Lower,-5.5%
Daniel Gafford,4:30pm,Pts + Rebs + Asts,Pinnacle,17.5,17.5,0,1.729,2.02,0.5388103494265137,0.4611896505734863,1x,Higher,-6.1%
Anfernee Simons,5:00pm,Assists,Pinnacle,5.5,5.5,0.0,2.32,1.555,0.4012903225806451,0.5987096774193548,0.9x,Lower,-6.1%
Payton Pritchard,4:30pm,Pts + Rebs + Asts,Pinnacle,16.5,16.5,0.0,2.02,1.735,0.4620505992010653,0.5379494007989348,1x,Lower,-6.6%
Franz Wagner,4:00pm,Rebounds,Pinnacle,6.5,6.5,0.0,2.17,1.632,0.4292477643345607,0.5707522356654392,0.94x,Lower,-7.3%
Obi Toppin,4:00pm,Points,Pinnacle,7.5,7.5,0,1.751,2.01,0.5344323318266418,0.4655676681733582,1x,Higher,-8.4%
Dyson Daniels,4:30pm,Rebounds,Pinnacle,5.5,5.5,0.0,2.32,1.555,0.4012903225806451,0.5987096774193548,0.89x,Lower,-9.2%
Domantas Sabonis,7:00pm,Rebounds,Pinnacle,13.5,13.5,0.0,2.15,1.645,0.4334650856389987,0.5665349143610013,0.94x,Lower,-9.4%
Keegan Murray,7:00pm,Points,Pinnacle,13.5,13.5,0.0,2.0,1.757,0.4676603673143466,0.5323396326856535,1x,Lower,-9.5%
Pascal Siakam,4:00pm,Points,Pinnacle,20.5,20.5,0,1.757,2.0,0.5323396326856535,0.4676603673143466,1x,Higher,-9.5%
Jakob Poeltl,4:00pm,Points,Pinnacle,15.5,15.5,0,1.751,1.99,0.5319433306602513,0.4680566693397487,1x,Higher,-9.7%
Clint Capela,4:30pm,Points,Pinnacle,12.5,12.5,0.0,2.21,1.617,0.4225241703684348,0.5774758296315653,0.92x,Lower,-10.0%
Jrue Holiday,4:30pm,Points,Pinnacle,10.5,10.5,0,1.757,1.99,0.5310915398985856,0.4689084601014144,1x,Higher,-10.1%
Stephen Curry,7:00pm,Points,Pinnacle,24.5,24.5,0.0,1.99,1.757,0.4689084601014144,0.5310915398985856,1x,Lower,-10.1%
Ochai Agbaji,4:00pm,Points,Pinnacle,10.5,10.5,0.0,1.99,1.763,0.4697575273114841,0.5302424726885159,1x,Lower,-10.6%
Zaccharie Risacher,4:30pm,Points,Pinnacle,9.5,9.5,0.0,1.99,1.763,0.4697575273114841,0.5302424726885159,1x,Lower,-10.6%
De'Aaron Fox,7:00pm,Assists,Pinnacle,5.5,5.5,0.0,1.99,1.763,0.4697575273114841,0.5302424726885159,1x,Lower,-10.6%
Peyton Watson,6:00pm,Points,Pinnacle,10.5,10.5,0,1.763,1.99,0.5302424726885159,0.4697575273114841,1x,Higher,-10.6%
DeMar DeRozan,7:00pm,Points,Pinnacle,18.5,18.5,0,1.763,1.99,0.5302424726885159,0.4697575273114841,1x,Higher,-10.6%
